Indiana Jones: Temple of Doom,Adventure,Steven Spielberg,Harrison Ford,Sean Connery,Alison Doody,1989, 4/5,"When Dr. Henry Jones Sr. suddenly goes missing while pursuing the Holy Grail, eminent archaeologist Indiana Jones must follow in his father's footsteps and stop the Nazis"
Jurassic Park,Adventure,,,,,,,
27 Dresses,Romance,,,,,,,
The Notebook,Romance,,,,,,,
Paul Blart: Mall Cop,Comedy,,,,,,,
The Other Guys,Comedy,,,,,,,
Alien,Sci-Fi,,,,,,,
Star Wars VII: The Force Awakens,Sci-Fi,,,,,,,
Tangled,Animation,,,,,,,
The Lion King,Animation,,,,,,,
The Karate Kid,Drama,,,,,,,
The Godfather,Drama,,,,,,,
Fight Club,Action,,,,,,,
Mad Max: Fury Road,Action,,,,,,,
Lord of the Rings ,Adventure,,,,,,,
Goonies,Adventure,,,,,,,
National Tresure,Adventure,,,,,,,
Dear John,Romance,,,,,,,
The Proposal,Romance,,,,,,,
50 First Dates,Romance,,,,,,,
Just Go With It,Comedy,,,,,,,
Mrs. Doubtfire,Comedy,,,,,,,
Old School,Comedy,,,,,,,
Pacific Rim,Sci-Fi,,,,,,,
Inception,Sci-Fi,,,,,,,
Back to the Future 2,Sci-Fi,,,,,,,
Lilo and Stitch,Animation,,,,,,,
Toy Story 3,Animation,,,,,,,
Space Jam,Animation,,,,,,,
The Shawshank Redemption,Drama,,,,,,,
Forrest Gump,Drama,,,,,,,
The Social Network,Drama,,,,,,,
Terminator 2: Judgement Day,Action,,,,,,,
Total Recall,Action,,,,,,,
First Blood,Action,,,,,,,
